KO,pathway,description,name
K00241,DC/4HB,"sdhC, frdC; succinate dehydrogenase cytochrome b subunit",Succinate dehydrogenase cytochrome b subunit
K01902,DC/4HB,sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5],Succinyl-CoA synthetase subunit alpha
K01903,DC/4HB,sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5],Succinyl-CoA synthetase subunit beta
K05298,CBB,GAPA; glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13],Glyceraldehyde-3P dehydrogenase (NADP+)
K03841,CBB,"FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]","Fructose-1,6-bisphosphatase I"
K03737,rTCA,"por, nifJ; pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]",Pyruvate-ferredoxin/flavodoxin oxidoreductase
K05298,3HP/4HB,GAPA; glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13],Glyceraldehyde-3P dehydrogenase (NADP+)
K03841,3HP/4HB,"FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]","Fructose-1,6-bisphosphatase I"
K05299,WL,fdhA; formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10],Formate dehydrogenase (NADP+) alpha subunit
K08691,3HP,mcl; malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25],Malyl-CoA lyase
K09709,3HP,meh; 3-methylfumaryl-CoA hydratase [EC:4.2.1.153],3-Methylfumaryl-CoA hydratase
K11532,CBB,"glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]","Fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase"
K11532,3HP/4HB,"glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]","Fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase"
K15230,rTCA,aclA; ATP-citrate lyase alpha-subunit [EC:2.3.3.8],ATP-citrate lyase subunit alpha
K15231,rTCA,aclB; ATP-citrate lyase beta-subunit [EC:2.3.3.8],ATP-citrate lyase subunit beta
K15232,rTCA,ccsA; citryl-CoA synthetase large subunit [EC:6.2.1.18],Citryl-CoA synthetase large subunit
